rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
2,IBRAHIM Basma Emad Gouda Mohamed,EGY,"Jun 27, 1995",54.65,A,75,80,82,82,55kgWomen,Snatch,445,False
3,COBAN BASOL Aysegul,TUR,"Dec 16, 1992",54.75,A,70,-75,75,75,55kgWomen,Snatch,445,False
4,KARAKOL Gamze,TUR,"Dec 15, 1998",50.15,A,70,72,-74,72,55kgWomen,Snatch,445,False
1,NABIEVA Muattar,UZB,"Jun 02, 1996",54.95,A,105,108,115,115,55kgWomen,CleanJerk,445,False
2,IBRAHIM Basma Emad Gouda Mohamed,EGY,"Jun 27, 1995",54.65,A,96,101,106,106,55kgWomen,CleanJerk,445,False
3,COBAN BASOL Aysegul,TUR,"Dec 16, 1992",54.75,A,97,102,-107,102,55kgWomen,CleanJerk,445,False
4,KARAKOL Gamze,TUR,"Dec 15, 1998",50.15,A,90,92,-94,92,55kgWomen,CleanJerk,445,False
1,NABIEVA Muattar,UZB,"Jun 02, 1996",54.95,A,90,115,205,,55kgWomen,Total,445,False
2,IBRAHIM Basma Emad Gouda Mohamed,EGY,"Jun 27, 1995",54.65,A,82,106,188,,55kgWomen,Total,445,False
3,COBAN BASOL Aysegul,TUR,"Dec 16, 1992",54.75,A,75,102,177,,55kgWomen,Total,445,False
4,KARAKOL Gamze,TUR,"Dec 15, 1998",50.15,A,72,92,164,,55kgWomen,Total,445,False
1,BELKHIR Ghofrane,TUN,"Aug 11, 2001",58.28,A,86,88,92,92,59kgWomen,Snatch,445,False
2,CAKIN Aysegul,TUR,"Jun 24, 1999",58.85,A,83,87,-89,87,59kgWomen,Snatch,445,False
3,SAID Neama Said Fahmi,EGY,"Nov 15, 2002",58.85,A,80,-85,-85,80,59kgWomen,Snatch,445,False
1,BELKHIR Ghofrane,TUN,"Aug 11, 2001",58.28,A,104,107,114,114,59kgWomen,CleanJerk,445,False
2,CAKIN Aysegul,TUR,"Jun 24, 1999",58.85,A,109,113,-115,113,59kgWomen,CleanJerk,445,False
3,SAID Neama Said Fahmi,EGY,"Nov 15, 2002",58.85,A,95,106,-110,106,59kgWomen,CleanJerk,445,False
1,BELKHIR Ghofrane,TUN,"Aug 11, 2001",58.28,A,92,114,206,,59kgWomen,Total,445,False
2,CAKIN Aysegul,TUR,"Jun 24, 1999",58.85,A,87,113,200,,59kgWomen,Total,445,False
3,SAID Neama Said Fahmi,EGY,"Nov 15, 2002",58.85,A,80,106,186,,59kgWomen,Total,445,False
1,AHMED Esraa Elsayed Rashed Elsayed,EGY,"Nov 21, 1998",63.20,A,88,91,94,94,64kgWomen,Snatch,445,False
2,FATTOUH Mahassen Hala,LBN,"Aug 27, 1989",64.00,A,86,89,92,92,64kgWomen,Snatch,445,False
3,LEVENT Nuray,TUR,"May 08, 2000",63.00,A,85,90,-93,90,64kgWomen,Snatch,445,False
4,FAYZULLAEVA Kumushkhon,UZB,"Jan 20, 2002",63.85,A,87,90,-92,90,64kgWomen,Snatch,445,False
5,ALTUN Berfin,TUR,"Nov 01, 1999",63.85,A,85,-88,89,89,64kgWomen,Snatch,445,False
6,RAVOLOLONIAINA Elisa Vania,MAD,"Feb 24, 1992",62.20,A,80,85,-91,85,64kgWomen,Snatch,445,False
7,RAHMOUNI Chaima,TUN,"Mar 25, 2001",60.10,A,77,-81,81,81,64kgWomen,Snatch,445,False
8,ABIDI Yousra,TUN,"Aug 02, 1998",63.20,A,78,-81,-82,78,64kgWomen,Snatch,445,False
1,ALTUN Berfin,TUR,"Nov 01, 1999",63.85,A,110,115,-119,115,64kgWomen,CleanJerk,445,False
2,AHMED Esraa Elsayed Rashed Elsayed,EGY,"Nov 21, 1998",63.20,A,108,113,-116,113,64kgWomen,CleanJerk,445,False
3,FATTOUH Mahassen Hala,LBN,"Aug 27, 1989",64.00,A,109,113,-116,113,64kgWomen,CleanJerk,445,False
4,FAYZULLAEVA Kumushkhon,UZB,"Jan 20, 2002",63.85,A,110,-114,-114,110,64kgWomen,CleanJerk,445,False
5,LEVENT Nuray,TUR,"May 08, 2000",63.00,A,108,-112,-112,108,64kgWomen,CleanJerk,445,False
6,ABIDI Yousra,TUN,"Aug 02, 1998",63.20,A,102,-106,-107,102,64kgWomen,CleanJerk,445,False
7,RAVOLOLONIAINA Elisa Vania,MAD,"Feb 24, 1992",62.20,A,97,-103,-103,97,64kgWomen,CleanJerk,445,False
8,RAHMOUNI Chaima,TUN,"Mar 25, 2001",60.10,A,-95,-95,95,95,64kgWomen,CleanJerk,445,False
