rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
2,JONG Chun Mi,PRK,"Mar 15, 1985",57.90,A,92,130,222,,58kgWomen,Total,142,True
3,PRACHAMORN Chomchailai,THA,"Jan 01, 1989",55.10,A,90,117,207,,58kgWomen,Total,142,True
4,KOSTENKO Tatyana,KAZ,"Jun 09, 1988",57.54,A,87,116,203,,58kgWomen,Total,142,True
5,VINOGRADOVA Svetlana,KAZ,"Nov 21, 1987",56.78,A,86,110,196,,58kgWomen,Total,142,True
6,GONGOR Otgontuya,MGL,"Jan 09, 1991",57.98,A,84,107,191,,58kgWomen,Total,142,True
7,YOUM Ok-Jin,KOR,"Jan 01, 1982",57.92,A,77,105,182,,58kgWomen,Total,142,True
8,SHOUGRAKPAM Chandreshori Devi,IND,"Mar 01, 1980",57.68,A,80,98,178,,58kgWomen,Total,142,True
---,MAMASALIEVA Manzurakhon,UZB,"Jan 16, 1991",57.34,A,72,---,---,,58kgWomen,Total,142,True
1,OUYANG Xiaofang,CHN,"Apr 05, 1982",62.52,A,105,110,-112,110,63kgWomen,Snatch,142,True
2,PAK Hyon Suk,PRK,"Apr 08, 1985",59.44,A,101,106,-108,106,63kgWomen,Snatch,142,True
3,HASHIDA Mayu,JPN,"Apr 20, 1986",59.82,A,85,88,90,90,63kgWomen,Snatch,142,True
4,SISOEVA Elena,UZB,"Dec 11, 1984",62.58,A,-83,-83,83,83,63kgWomen,Snatch,142,True
